src,tgt,tau,p_combined,weight_mean,weight_std,n_scenes,total_observations
obj_count,obj_count,2,0.0,0.8168914441331698,0.1259216750266089,167,167
min_distance_proxy,min_distance_proxy,1,0.0,0.7848842982833347,0.11925289534563373,1331,1331
min_distance_proxy,min_distance_proxy,2,0.0,0.7792883981063323,0.1856987449984513,271,271
q10_risk_speed,q10_risk_speed,1,0.0,0.7772584627832262,0.08642500452922118,1322,1322
q90_closing_rate,q90_closing_rate,1,0.0,0.7748998564385939,0.09007190684498584,1299,1299
q05_ttc_eff,q05_ttc_eff,1,0.0,0.760416357108329,0.09750876167312685,1248,1248
q90_closing_rate,q90_closing_rate,2,0.0,0.7420557378050244,0.16183552149776215,165,165
ego_speed,ego_speed,1,0.0,0.7277177886405218,0.09943256438502683,1107,1107
q05_ttc_eff,min_distance_proxy,1,0.0,0.7148499569129272,0.15538873478513104,107,107
q90_closing_rate,obj_count,1,0.0,0.7070593176924421,0.1493725340098909,100,100
obj_count,obj_count,1,0.0,0.7062862502943111,0.09803344009232874,1153,1153
q05_ttc_eff,min_distance_proxy,2,0.0,0.7008122767904206,0.14192784726225585,105,105
q10_risk_speed,q10_risk_speed,2,0.0,0.6961776940376938,0.1694396334977128,158,158
obj_count,q90_closing_rate,1,0.0,0.6945655715593843,0.15307567621306079,140,140
q90_closing_rate,min_distance_proxy,1,0.0,0.6811999605713179,0.14508080600370085,130,130
min_distance_proxy,q90_closing_rate,1,0.0,0.6801180411178263,0.15144294225537028,113,113
q05_ttc_eff,q05_ttc_eff,2,0.0,0.6751569564361046,0.1415267445104392,178,178
ego_speed,ego_accel,1,0.0,0.6730173727215444,0.12958916116038535,434,434
ego_accel,ego_accel,1,0.0,0.6725474496595023,0.09790539083091272,911,911
q10_risk_speed,q05_ttc_eff,1,0.0,0.672269522285427,0.15086773906213266,108,108
q90_closing_rate,min_distance_proxy,2,0.0,0.668634279275629,0.14508829860374334,112,112
ego_accel,ego_speed,1,0.0,0.6567745502116052,0.13161882615415502,208,208
ego_speed,ego_speed,2,0.0,0.6526066427412256,0.14278850163205842,226,226
ego_speed,ego_accel,2,0.0,0.6139799998014096,0.12942158056924316,130,130
ego_accel,ego_accel,2,0.0,0.60062777142151,0.10822673866000525,166,166
